Дата;KZTO;KZTK;KZAP;KEGC;HSBK
01.07.2024;831,00;36 910,00;19 170,00;1471.07;208.25
02.07.2024;830.85;36 911,00;19 267,00;1476.1;209,00
03.07.2024;830,00;37999.99;19 318,00;1482.47;207.95
04.07.2024;828,00;37 952,00;19 401,00;1476.2;208.76
05.07.2024;829,00;38 531,00;19 628,00;1 477,00;207.58
09.07.2024;827.99;39 335,00;19 325,00;1483.99;207.9
10.07.2024;827.99;39775.12;18 650,00;1 478,00;206.89
11.07.2024;828,00;39 588,00;18 838,00;1478.05;206.9
12.07.2024;827.99;39 105,00;18960.5;1482.5;206.6
15.07.2024;824.98;38904.85;19113.9;1478.1;205.91
16.07.2024;824.49;39 042,00;19 088,00;1 478,00;205.69
17.07.2024;823,00;39 000,00;18 949,00;1478.01;205.7
18.07.2024;819.8;38 905,00;18620.03;1478.99;204.95
19.07.2024;819,00;38617.71;18 620,00;1481.92;206.19
22.07.2024;817.49;37926.54;18 612,00;1 478,00;205.48
23.07.2024;812.99;38 250,00;18261.99;1478.45;205.79
24.07.2024;812.99;38 430,00;18 463,00;1478.95;205,00
25.07.2024;816.89;38 097,00;18300.04;1478.4;205.15
26.07.2024;814,00;38749.86;18 450,00;1478.4;206.3
29.07.2024;802,00;38874.08;18 356,00;1481.2;207.3
30.07.2024;809.98;38 858,00;18 420,00;1 478,00;206,00
31.07.2024;814,00;38 874,00;18301.01;1 480,00;205.87
01.08.2024;810,00;38 848,00;18 450,00;1 479,00;206.8
02.08.2024;819.97;38 549,00;18 336,00;1 480,00;205.69
05.08.2024;812.01;37508.69;17 600,00;1 478,00;200,00
06.08.2024;818.79;37 872,00;18 000,00;1 475,00;202.8
07.08.2024;816.01;37 896,00;18 327,00;1 478,00;203.1
08.08.2024;812,00;37 850,00;18 053,00;1476.03;204.1
09.08.2024;811.7;37 676,00;18 248,00;1479.97;204.6
12.08.2024;811,00;37 847,00;18 200,00;1477.5;207.89
13.08.2024;817,00;38224.71;18 060,00;1476.5;209.65
14.08.2024;823,00;38 500,00;18 149,00;1 478,00;213.99
15.08.2024;829.5;39 440,00;18 200,00;1 479,00;215.68
16.08.2024;825.19;38853.1;18 298,00;1 480,00;216.51
19.08.2024;819.8;39 197,00;18 290,00;1 479,00;217.69
20.08.2024;828,00;39194.99;18 130,00;1478.11;215.99
21.08.2024;817.05;39188.88;18 100,00;1477.05;211.29
22.08.2024;825.87;38 900,00;18080.1;1478.8;212.96
23.08.2024;824.84;39 088,00;18 378,00;1477.99;212,00
26.08.2024;821.99;38 841,00;18657.99;1 479,00;211.74
27.08.2024;817.18;39078.99;18 648,00;1 480,00;211.73
28.08.2024;819,00;39 080,00;18 510,00;1481.97;211.45
29.08.2024;827,00;38 960,00;18 394,00;1 480,00;210.98
02.09.2024;822,00;38 804,00;18229.95;1479.01;208.96
03.09.2024;814.49;38 600,00;18219.99;1 479,00;207.9
04.09.2024;815,00;38 699,00;18119.5;1 481,00;206.31
05.09.2024;819.88;38 880,00;18099.99;1 480,00;204.1
06.09.2024;822,00;38 600,00;18 061,00;1 479,00;204.4
09.09.2024;819.97;38 407,00;17 846,00;1 478,00;204.96
10.09.2024;818.69;38 590,00;18 010,00;1478.98;201.3
11.09.2024;814.99;38 380,00;18 089,00;1 477,00;196,00
12.09.2024;811,00;38 295,00;18 360,00;1 477,00;199.99
13.09.2024;809.99;38 199,00;18 320,00;1 478,00;203.8
16.09.2024;808.13;38 380,00;18301.04;1 479,00;203.25
17.09.2024;805.01;38 399,00;18229.98;1480.25;206.9
18.09.2024;815,00;37 500,00;17999.99;1 480,00;211.68
19.09.2024;815.22;38 000,00;18 039,00;1479.9;210.52
20.09.2024;818,00;38 175,00;17 905,00;1 480,00;209,00
23.09.2024;820,00;38 300,00;17806.98;1 490,00;208.54
24.09.2024;817,00;38 002,00;18 441,00;1484.04;208.89
25.09.2024;817,00;38 200,00;18240.29;1 484,00;208.55
